I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-05-29T17:36:02.000Z,113.19999694824219,0.0,99,0.0,0
1,2020-05-29T17:36:03.000Z,113.19999694824219,0.0,99,0.0,0
2,2020-05-29T17:36:07.000Z,113.19999694824219,0.0,96,0.0,0
3,2020-05-29T17:36:10.000Z,113.19999694824219,5.059999942779541,93,2.575000047683716,88
4,2020-05-29T17:36:11.000Z,113.19999694824219,7.550000190734863,90,2.490999937057495,88
5,2020-05-29T17:36:14.000Z,113.19999694824219,14.699999809265137,95,2.4820001125335693,96
6,2020-05-29T17:36:15.000Z,113.19999694824219,17.290000915527344,100,2.5850000381469727,96
7,2020-05-29T17:36:16.000Z,113.19999694824219,19.950000762939453,104,2.6589999198913574,96
8,2020-05-29T17:36:24.000Z,113.19999694824219,40.040000915527344,101,2.6410000324249268,98
9,2020-05-29T17:36:27.000Z,113.19999694824219,48.38999938964844,104,2.76200008392334,98
10,2020-05-29T17:36:35.000Z,113.19999694824219,69.47000122070312,105,2.5850000381469727,95
11,2020-05-29T17:36:37.000Z,113.19999694824219,74.7300033569336,108,2.63100004196167,94
12,2020-05-29T17:36:45.000Z,113.19999694824219,95.04000091552734,108,2.4260001182556152,88
13,2020-05-29T17:36:46.000Z,113.19999694824219,97.4800033569336,111,2.434999942779541,89
14,2020-05-29T17:36:47.000Z,113.19999694824219,99.9000015258789,114,2.4260001182556152,90
15,2020-05-29T17:36:48.000Z,113.19999694824219,102.38999938964844,114,2.4820001125335693,92
16,2020-05-29T17:36:53.000Z,113.19999694824219,114.9000015258789,110,2.556999921798706,93
17,2020-05-29T17:37:01.000Z,113.19999694824219,135.38999938964844,108,2.444999933242798,86
18,2020-05-29T17:37:03.000Z,113.19999694824219,140.13999938964844,105,2.369999885559082,86
19,2020-05-29T17:37:07.000Z,113.19999694824219,149.61000061035156,108,2.3510000705718994,86
20,2020-05-29T17:37:11.000Z,113.19999694824219,159.27999877929688,111,2.4730000495910645,89
21,2020-05-29T17:37:18.000Z,113.19999694824219,176.55999755859375,108,2.4539999961853027,90
22,2020-05-29T17:37:27.000Z,113.19999694824219,197.5500030517578,109,2.4539999961853027,93
23,2020-05-29T17:37:35.000Z,113.19999694824219,217.66000366210938,106,2.546999931335449,94
24,2020-05-29T17:37:43.000Z,113.19999694824219,237.7899932861328,106,2.5190000534057617,92
25,2020-05-29T17:37:51.000Z,113.19999694824219,258.0299987792969,107,2.490999937057495,91
26,2020-05-29T17:37:53.000Z,113.19999694824219,262.9599914550781,104,2.444999933242798,92
27,2020-05-29T17:38:01.000Z,113.19999694824219,282.4800109863281,109,2.490999937057495,92
28,2020-05-29T17:38:02.000Z,113.19999694824219,284.9599914550781,114,2.4730000495910645,92
29,2020-05-29T17:38:03.000Z,113.19999694824219,287.3900146484375,114,2.4260001182556152,92
30,2020-05-29T17:38:12.000Z,113.19999694824219,309.0799865722656,112,2.193000078201294,86
31,2020-05-29T17:38:15.000Z,113.19999694824219,315.6300048828125,112,2.2300000190734863,84
32,2020-05-29T17:38:24.000Z,113.19999694824219,336.2300109863281,111,2.2300000190734863,84
33,2020-05-29T17:38:33.000Z,113.19999694824219,357.45001220703125,110,2.490999937057495,90
34,2020-05-29T17:38:42.000Z,113.19999694824219,378.70001220703125,109,2.249000072479248,90
35,2020-05-29T17:38:51.000Z,113.19999694824219,399.1000061035156,112,2.239000082015991,85
36,2020-05-29T17:39:04.000Z,113.19999694824219,419.6000061035156,110,2.2209999561309814,86
37,2020-05-29T17:39:13.000Z,113.19999694824219,441.1400146484375,111,2.3510000705718994,90
38,2020-05-29T17:39:21.000Z,113.19999694824219,460.5,107,2.3889999389648438,89
39,2020-05-29T17:39:30.000Z,113.19999694824219,482.32000732421875,106,2.4630000591278076,88
40,2020-05-29T17:39:49.000Z,113.19999694824219,503.9700012207031,108,2.4170000553131104,83
41,2020-05-29T17:39:58.000Z,113.19999694824219,524.5599975585938,109,2.4170000553131104,92
42,2020-05-29T17:40:07.000Z,113.19999694824219,546.3400268554688,110,2.4070000648498535,92
43,2020-05-29T17:40:16.000Z,113.19999694824219,568.0700073242188,110,2.4170000553131104,88
44,2020-05-29T17:40:21.000Z,113.19999694824219,579.9600219726562,107,2.4260001182556152,89
45,2020-05-29T17:40:30.000Z,113.19999694824219,602.1099853515625,107,2.509999990463257,93
46,2020-05-29T17:40:38.000Z,113.19999694824219,622.1199951171875,110,2.490999937057495,92
47,2020-05-29T17:40:46.000Z,113.19999694824219,642.0,107,2.500999927520752,94
48,2020-05-29T17:40:54.000Z,113.19999694824219,662.75,108,2.575000047683716,94
49,2020-05-29T17:41:02.000Z,113.19999694824219,682.9500122070312,109,2.490999937057495,92
50,2020-05-29T17:41:11.000Z,113.19999694824219,705.4000244140625,111,2.4630000591278076,92
51,2020-05-29T17:41:20.000Z,113.19999694824219,727.9199829101562,111,2.546999931335449,92
52,2020-05-29T17:41:29.000Z,113.19999694824219,750.3599853515625,111,2.490999937057495,92
53,2020-05-29T17:41:38.000Z,113.19999694824219,772.77001953125,111,2.5380001068115234,98
54,2020-05-29T17:41:46.000Z,113.19999694824219,793.9600219726562,112,2.7709999084472656,103
55,2020-05-29T17:41:50.000Z,113.19999694824219,804.9299926757812,116,2.687000036239624,98
56,2020-05-29T17:41:58.000Z,113.19999694824219,826.260009765625,117,2.63100004196167,96
57,2020-05-29T17:41:59.000Z,113.19999694824219,828.9199829101562,118,2.6589999198913574,96
58,2020-05-29T17:42:07.000Z,113.19999694824219,849.9199829101562,118,2.61299991607666,98
59,2020-05-29T17:42:09.000Z,113.19999694824219,855.2000122070312,114,2.6500000953674316,98
60,2020-05-29T17:42:17.000Z,113.19999694824219,875.9000244140625,114,2.556999921798706,98
61,2020-05-29T17:42:25.000Z,113.19999694824219,896.8800048828125,115,2.6689999103546143,96
62,2020-05-29T17:42:28.000Z,113.19999694824219,904.8200073242188,112,2.63100004196167,96
63,2020-05-29T17:42:36.000Z,113.19999694824219,925.719970703125,112,2.6410000324249268,95
64,2020-05-29T17:42:41.000Z,113.19999694824219,938.8499755859375,115,2.63100004196167,97
65,2020-05-29T17:42:49.000Z,113.19999694824219,959.3300170898438,116,2.444999933242798,92
66,2020-05-29T17:42:58.000Z,113.19999694824219,981.47998046875,115,2.434999942779541,88
67,2020-05-29T17:43:01.000Z,113.19999694824219,988.6400146484375,118,2.378999948501587,88
68,2020-05-29T17:43:06.000Z,113.19999694824219,1000.530029296875,118,2.4070000648498535,93
