I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-05-28T00:53:10.000Z,106.80000305175781,1.5700000524520874,106,1.5679999589920044,0
1,2020-05-28T00:53:11.000Z,106.5999984741211,1.5700000524520874,106,0.0,59
2,2020-05-28T00:53:19.000Z,106.4000015258789,12.949999809265137,110,1.902999997138977,96
3,2020-05-28T00:53:20.000Z,106.4000015258789,14.960000038146973,110,2.015000104904175,96
4,2020-05-28T00:53:23.000Z,106.5999984741211,21.459999084472656,114,2.2209999561309814,96
5,2020-05-28T00:53:25.000Z,106.4000015258789,26.040000915527344,118,2.305000066757202,98
6,2020-05-28T00:53:26.000Z,106.4000015258789,28.389999389648438,122,2.3420000076293945,98
7,2020-05-28T00:53:30.000Z,106.4000015258789,37.959999084472656,119,2.4170000553131104,95
8,2020-05-28T00:53:34.000Z,106.4000015258789,47.849998474121094,115,2.500999927520752,96
9,2020-05-28T00:53:37.000Z,106.19999694824219,55.43000030517578,120,2.5380001068115234,93
10,2020-05-28T00:53:38.000Z,106.19999694824219,57.959999084472656,123,2.5380001068115234,92
11,2020-05-28T00:53:39.000Z,106.19999694824219,60.4900016784668,123,2.5290000438690186,92
12,2020-05-28T00:53:40.000Z,106.19999694824219,63.0099983215332,126,2.5190000534057617,93
13,2020-05-28T00:53:41.000Z,106.4000015258789,65.52999877929688,130,2.5190000534057617,93
14,2020-05-28T00:53:43.000Z,106.4000015258789,70.56999969482422,134,2.5190000534057617,93
15,2020-05-28T00:53:48.000Z,106.4000015258789,83.19000244140625,131,2.5290000438690186,97
16,2020-05-28T00:53:51.000Z,106.4000015258789,90.81999969482422,128,2.546999931335449,96
17,2020-05-28T00:54:06.000Z,106.4000015258789,103.5999984741211,134,2.556999921798706,92
18,2020-05-28T00:54:08.000Z,106.5999984741211,108.69999694824219,138,2.546999931335449,92
19,2020-05-28T00:54:16.000Z,107.0,128.8000030517578,140,2.500999927520752,96
20,2020-05-28T00:54:20.000Z,106.80000305175781,138.9199981689453,144,2.5380001068115234,92
21,2020-05-28T00:54:23.000Z,106.80000305175781,146.52000427246094,140,2.5290000438690186,92
22,2020-05-28T00:54:24.000Z,106.80000305175781,149.0500030517578,137,2.5290000438690186,93
23,2020-05-28T00:54:25.000Z,106.80000305175781,151.5800018310547,133,2.5290000438690186,95
24,2020-05-28T00:54:26.000Z,106.80000305175781,154.11000061035156,133,2.5290000438690186,95
25,2020-05-28T00:54:29.000Z,106.80000305175781,161.7100067138672,139,2.5380001068115234,94
26,2020-05-28T00:54:30.000Z,106.80000305175781,164.25,139,2.5380001068115234,94
27,2020-05-28T00:54:33.000Z,106.5999984741211,171.86000061035156,140,2.5380001068115234,93
28,2020-05-28T00:54:35.000Z,106.5999984741211,175.6199951171875,140,2.565999984741211,94
29,2020-05-28T00:54:41.000Z,106.80000305175781,192.4600067138672,137,2.687000036239624,94
30,2020-05-28T00:54:49.000Z,107.0,214.6699981689453,135,2.7149999141693115,95
31,2020-05-28T00:54:56.000Z,107.19999694824219,234.97999572753906,133,2.743000030517578,90
32,2020-05-28T00:55:03.000Z,107.4000015258789,250.22999572753906,136,2.687000036239624,80
33,2020-05-28T00:55:05.000Z,107.5999984741211,253.97999572753906,143,2.5850000381469727,80
34,2020-05-28T00:55:07.000Z,107.4000015258789,260.17999267578125,150,2.4820001125335693,84
35,2020-05-28T00:55:08.000Z,107.4000015258789,263.4100036621094,155,2.4820001125335693,84
36,2020-05-28T00:55:09.000Z,107.4000015258789,267.8399963378906,159,2.5190000534057617,84
37,2020-05-28T00:55:10.000Z,107.5999984741211,272.3699951171875,164,2.6029999256134033,84
38,2020-05-28T00:55:11.000Z,107.5999984741211,276.6199951171875,167,2.8459999561309814,84
39,2020-05-28T00:55:14.000Z,107.80000305175781,285.760009765625,167,2.8369998931884766,90
40,2020-05-28T00:55:17.000Z,107.5999984741211,291.3800048828125,169,2.621999979019165,90
41,2020-05-28T00:55:26.000Z,107.4000015258789,311.9200134277344,168,2.565999984741211,92
42,2020-05-28T00:55:32.000Z,107.19999694824219,335.2200012207031,168,2.6500000953674316,91
43,2020-05-28T00:55:35.000Z,107.19999694824219,344.6099853515625,164,2.697000026702881,92
44,2020-05-28T00:55:45.000Z,107.19999694824219,366.19000244140625,161,2.546999931335449,91
45,2020-05-28T00:55:46.000Z,107.19999694824219,368.260009765625,158,2.556999921798706,92
46,2020-05-28T00:55:47.000Z,107.4000015258789,370.4599914550781,153,2.546999931335449,93
47,2020-05-28T00:55:48.000Z,107.4000015258789,372.5799865722656,149,2.5380001068115234,93
48,2020-05-28T00:55:49.000Z,107.4000015258789,375.1400146484375,144,2.5190000534057617,92
49,2020-05-28T00:55:50.000Z,107.4000015258789,377.489990234375,138,2.5190000534057617,92
