I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-05-21T01:03:46.000Z,84.80000305175781,1.5700000524520874,94,1.5679999589920044,59
1,2020-05-21T01:03:47.000Z,84.5999984741211,3.1700000762939453,94,1.6050000190734863,59
2,2020-05-21T01:03:51.000Z,83.80000305175781,9.569999694824219,94,1.6050000190734863,100
3,2020-05-21T01:04:00.000Z,83.5999984741211,31.219999313354492,96,2.7899999618530273,98
4,2020-05-21T01:04:01.000Z,83.80000305175781,34.0099983215332,101,2.7899999618530273,100
5,2020-05-21T01:04:02.000Z,83.80000305175781,36.790000915527344,101,2.7809998989105225,100
6,2020-05-21T01:04:06.000Z,84.0,48.279998779296875,105,2.9860000610351562,100
7,2020-05-21T01:04:07.000Z,84.0,51.279998779296875,108,3.003999948501587,100
8,2020-05-21T01:04:08.000Z,84.0,54.290000915527344,108,3.003999948501587,99
9,2020-05-21T01:04:09.000Z,84.0,57.27000045776367,111,2.9860000610351562,100
10,2020-05-21T01:04:10.000Z,84.0,60.25,114,2.9760000705718994,100
11,2020-05-21T01:04:11.000Z,84.19999694824219,63.209999084472656,118,2.9670000076293945,100
12,2020-05-21T01:04:12.000Z,84.0,66.16999816894531,117,2.9579999446868896,99
13,2020-05-21T01:04:15.000Z,84.0,74.93000030517578,123,2.9019999504089355,98
14,2020-05-21T01:04:16.000Z,84.0,77.81999969482422,123,2.882999897003174,98
15,2020-05-21T01:04:23.000Z,84.0,98.26000213623047,121,2.9670000076293945,99
16,2020-05-21T01:04:30.000Z,84.4000015258789,118.83999633789062,121,2.938999891281128,94
17,2020-05-21T01:04:37.000Z,84.4000015258789,138.9199981689453,120,2.8369998931884766,96
18,2020-05-21T01:04:45.000Z,84.4000015258789,161.4499969482422,120,2.7899999618530273,96
19,2020-05-21T01:04:47.000Z,84.5999984741211,167.02999877929688,124,2.7899999618530273,96
20,2020-05-21T01:04:52.000Z,84.5999984741211,181.0,120,2.7899999618530273,96
21,2020-05-21T01:04:56.000Z,84.5999984741211,192.16000366210938,125,2.7899999618530273,97
22,2020-05-21T01:04:58.000Z,84.80000305175781,197.74000549316406,129,2.7899999618530273,96
23,2020-05-21T01:05:04.000Z,85.19999694824219,214.60000610351562,132,2.809000015258789,97
24,2020-05-21T01:05:12.000Z,85.5999984741211,237.02999877929688,133,2.7809998989105225,95
25,2020-05-21T01:05:19.000Z,85.80000305175781,256.3699951171875,132,2.753000020980835,93
26,2020-05-21T01:05:27.000Z,85.80000305175781,278.6099853515625,134,2.8269999027252197,90
27,2020-05-21T01:05:34.000Z,85.80000305175781,298.6300048828125,135,2.865000009536743,94
28,2020-05-21T01:05:42.000Z,85.4000015258789,320.7699890136719,136,2.687000036239624,97
29,2020-05-21T01:05:45.000Z,85.4000015258789,328.75,139,2.6589999198913574,97
30,2020-05-21T01:05:52.000Z,85.4000015258789,347.3699951171875,136,2.677999973297119,95
31,2020-05-21T01:05:53.000Z,85.4000015258789,350.04998779296875,135,2.677999973297119,91
32,2020-05-21T01:06:01.000Z,85.0,371.6400146484375,137,2.7149999141693115,96
33,2020-05-21T01:06:09.000Z,85.19999694824219,393.17999267578125,138,2.6500000953674316,93
34,2020-05-21T01:06:17.000Z,85.5999984741211,414.1400146484375,137,2.61299991607666,93
