I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-05-17T19:24:49.000Z,66.80000305175781,0.0,109,0.0,0
1,2020-05-17T19:24:50.000Z,67.0,0.4099999964237213,109,0.0,0
2,2020-05-17T19:24:55.000Z,67.19999694824219,2.9700000286102295,106,0.01899999938905239,94
3,2020-05-17T19:24:57.000Z,66.80000305175781,6.679999828338623,106,1.4559999704360962,92
4,2020-05-17T19:25:00.000Z,66.5999984741211,14.880000114440918,98,2.6410000324249268,98
5,2020-05-17T19:25:01.000Z,66.5999984741211,17.190000534057617,100,2.5940001010894775,98
6,2020-05-17T19:25:04.000Z,66.80000305175781,24.90999984741211,104,2.5380001068115234,97
7,2020-05-17T19:25:05.000Z,67.0,27.81999969482422,107,2.63100004196167,97
8,2020-05-17T19:25:06.000Z,67.0,30.65999984741211,111,2.753000020980835,96
9,2020-05-17T19:25:07.000Z,67.19999694824219,33.220001220703125,114,2.7809998989105225,95
10,2020-05-17T19:25:10.000Z,66.5999984741211,40.22999954223633,118,2.6689999103546143,96
11,2020-05-17T19:25:13.000Z,66.4000015258789,48.150001525878906,121,2.575000047683716,96
12,2020-05-17T19:25:16.000Z,66.5999984741211,56.2400016784668,126,2.621999979019165,96
13,2020-05-17T19:25:18.000Z,66.80000305175781,61.060001373291016,130,2.6029999256134033,95
14,2020-05-17T19:25:23.000Z,67.0,73.72000122070312,129,2.5850000381469727,97
15,2020-05-17T19:25:25.000Z,67.0,78.88999938964844,125,2.575000047683716,96
16,2020-05-17T19:25:31.000Z,67.0,98.5199966430664,128,2.677999973297119,95
17,2020-05-17T19:25:32.000Z,67.0,101.70999908447266,132,2.7149999141693115,94
18,2020-05-17T19:25:34.000Z,67.0,107.81999969482422,135,2.7339999675750732,94
19,2020-05-17T19:25:40.000Z,67.19999694824219,128.33999633789062,139,2.882999897003174,97
20,2020-05-17T19:25:46.000Z,67.4000015258789,146.57000732421875,135,3.003999948501587,98
21,2020-05-17T19:25:51.000Z,67.4000015258789,160.0800018310547,132,2.9670000076293945,98
22,2020-05-17T19:25:56.000Z,67.4000015258789,172.9199981689453,136,2.9210000038146973,96
23,2020-05-17T19:25:57.000Z,67.5999984741211,175.75,140,2.8929998874664307,95
24,2020-05-17T19:25:58.000Z,67.5999984741211,178.3000030517578,145,2.8929998874664307,94
25,2020-05-17T19:25:59.000Z,67.5999984741211,180.7899932861328,145,2.882999897003174,94
26,2020-05-17T19:26:00.000Z,67.80000305175781,183.77999877929688,140,2.865000009536743,95
27,2020-05-17T19:26:02.000Z,67.80000305175781,190.64999389648438,137,2.882999897003174,96
28,2020-05-17T19:26:03.000Z,67.80000305175781,194.14999389648438,137,2.9019999504089355,96
29,2020-05-17T19:26:07.000Z,68.0,207.3000030517578,138,2.947999954223633,93
30,2020-05-17T19:26:14.000Z,68.19999694824219,228.3000030517578,140,2.9670000076293945,93
31,2020-05-17T19:26:25.000Z,68.4000015258789,248.4199981689453,142,1.902999997138977,73
32,2020-05-17T19:26:33.000Z,68.4000015258789,269.0400085449219,141,2.369999885559082,96
33,2020-05-17T19:26:35.000Z,68.80000305175781,270.3599853515625,140,1.25,59
34,2020-05-17T19:26:36.000Z,69.19999694824219,270.6499938964844,140,0.5040000081062317,59
35,2020-05-17T19:26:42.000Z,69.5999984741211,274.0799865722656,137,0.6620000004768372,59
36,2020-05-17T19:26:54.000Z,69.0,275.6199951171875,134,0.0,0
37,2020-05-17T19:27:08.000Z,69.0,278.0,137,0.0,0
38,2020-05-17T19:27:12.000Z,68.80000305175781,284.5899963378906,137,0.9139999747276306,0
39,2020-05-17T19:27:14.000Z,69.0,290.4700012207031,135,2.621999979019165,96
40,2020-05-17T19:27:18.000Z,69.0,300.95001220703125,132,2.7990000247955322,103
41,2020-05-17T19:27:22.000Z,68.0,309.6700134277344,129,2.5190000534057617,105
42,2020-05-17T19:27:25.000Z,68.19999694824219,316.8800048828125,124,2.7060000896453857,106
43,2020-05-17T19:27:27.000Z,68.5999984741211,322.739990234375,127,2.7709999084472656,104
44,2020-05-17T19:27:28.000Z,68.80000305175781,325.80999755859375,132,2.8459999561309814,104
45,2020-05-17T19:27:29.000Z,68.80000305175781,328.57000732421875,137,2.865000009536743,104
46,2020-05-17T19:27:30.000Z,68.5999984741211,331.0400085449219,141,2.865000009536743,100
47,2020-05-17T19:27:31.000Z,68.80000305175781,334.6300048828125,145,2.865000009536743,100
48,2020-05-17T19:27:33.000Z,68.5999984741211,346.239990234375,138,2.865000009536743,98
49,2020-05-17T19:27:34.000Z,68.4000015258789,349.69000244140625,133,2.882999897003174,98
50,2020-05-17T19:27:35.000Z,68.4000015258789,354.010009765625,136,2.930000066757202,97
51,2020-05-17T19:27:36.000Z,68.19999694824219,357.489990234375,139,3.0230000019073486,97
52,2020-05-17T19:27:37.000Z,67.80000305175781,360.5899963378906,144,3.0510001182556152,97
53,2020-05-17T19:27:38.000Z,67.80000305175781,363.7200012207031,142,3.069999933242798,96
54,2020-05-17T19:27:40.000Z,67.5999984741211,369.82000732421875,138,3.0880000591278076,95
55,2020-05-17T19:27:41.000Z,67.80000305175781,372.54998779296875,134,3.0880000591278076,94
56,2020-05-17T19:27:44.000Z,68.0,378.4700012207031,137,2.8550000190734863,94
57,2020-05-17T19:27:47.000Z,68.0,385.3599853515625,138,2.6500000953674316,95
58,2020-05-17T19:27:51.000Z,68.0,394.3800048828125,138,2.5850000381469727,93
59,2020-05-17T19:27:53.000Z,68.0,400.55999755859375,141,2.575000047683716,96
60,2020-05-17T19:27:55.000Z,67.80000305175781,407.6600036621094,143,2.7149999141693115,99
61,2020-05-17T19:28:01.000Z,68.19999694824219,430.2300109863281,142,2.994999885559082,97
62,2020-05-17T19:28:04.000Z,68.19999694824219,439.4599914550781,139,3.003999948501587,98
63,2020-05-17T19:28:06.000Z,68.4000015258789,444.6099853515625,138,2.9860000610351562,99
64,2020-05-17T19:28:12.000Z,67.4000015258789,458.6199951171875,136,2.7809998989105225,96
