I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence,time,atemp,cad,hr,lat,lon
0,2020-05-17T19:24:49.000Z,66.80000305175781,0,109,0,0,2020-05-17T19:24:49.000Z,,,,43.71459449641406536102294921875,-79.35650068335235118865966796875
1,2020-05-17T19:24:50.000Z,67,0.4099999964237213,109,0,0,2020-05-17T19:24:49.000Z,27,0,109,43.71459902264177799224853515625,-79.35650252737104892730712890625
2,2020-05-17T19:24:55.000Z,67.19999694824219,2.9700000286102295,106,0.01899999938905239,94,2020-05-17T19:24:50.000Z,27,0,109,43.7146383337676525115966796875,-79.35651442967355251312255859375
3,2020-05-17T19:24:57.000Z,66.80000305175781,6.679999828338623,106,1.4559999704360962,92,2020-05-17T19:24:55.000Z,27,94,106,43.7146638147532939910888671875,-79.35654393397271633148193359375
4,2020-05-17T19:25:00.000Z,66.5999984741211,14.880000114440918,98,2.6410000324249268,98,2020-05-17T19:24:57.000Z,27,92,106,43.71470077894628047943115234375,-79.3566306866705417633056640625
5,2020-05-17T19:25:01.000Z,66.5999984741211,17.190000534057617,100,2.5940001010894775,98,2020-05-17T19:25:00.000Z,27,98,98,43.714703880250453948974609375,-79.35665926896035671234130859375
6,2020-05-17T19:25:04.000Z,66.80000305175781,24.90999984741211,104,2.5380001068115234,97,2020-05-17T19:25:01.000Z,27,98,100,43.7147070653736591339111328125,-79.35675499029457569122314453125
7,2020-05-17T19:25:05.000Z,67,27.81999969482422,107,2.63100004196167,97,2020-05-17T19:25:04.000Z,27,97,104,43.71470664627850055694580078125,-79.35679103247821331024169921875
8,2020-05-17T19:25:06.000Z,67,30.65999984741211,111,2.753000020980835,96,2020-05-17T19:25:05.000Z,27,97,107,43.71471150778234004974365234375,-79.35682573355734348297119140625
9,2020-05-17T19:25:07.000Z,67.19999694824219,33.220001220703125,114,2.7809998989105225,95,2020-05-17T19:25:06.000Z,27,96,111,43.71472123079001903533935546875,-79.35685473494231700897216796875
10,2020-05-17T19:25:10.000Z,66.5999984741211,40.22999954223633,118,2.6689999103546143,96,2020-05-17T19:25:07.000Z,27,95,114,43.7147285230457782745361328125,-79.35693897306919097900390625
11,2020-05-17T19:25:13.000Z,66.4000015258789,48.150001525878906,121,2.575000047683716,96,2020-05-17T19:25:10.000Z,27,96,118,43.7147100828588008880615234375,-79.357033856213092803955078125
12,2020-05-17T19:25:16.000Z,66.5999984741211,56.2400016784668,126,2.621999979019165,96,2020-05-17T19:25:13.000Z,27,96,121,43.71469491161406040191650390625,-79.35713209211826324462890625
13,2020-05-17T19:25:18.000Z,66.80000305175781,61.060001373291016,130,2.6029999256134033,95,2020-05-17T19:25:16.000Z,27,96,126,43.71468367986381053924560546875,-79.35718984343111515045166015625
14,2020-05-17T19:25:23.000Z,67,73.72000122070312,129,2.5850000381469727,97,2020-05-17T19:25:18.000Z,27,95,130,43.71466674841940402984619140625,-79.3573448248207569122314453125
15,2020-05-17T19:25:25.000Z,67,78.88999938964844,125,2.575000047683716,96,2020-05-17T19:25:23.000Z,27,97,129,43.7146802432835102081298828125,-79.35740626417100429534912109375
16,2020-05-17T19:25:31.000Z,67,98.5199966430664,128,2.677999973297119,95,2020-05-17T19:25:25.000Z,27,96,125,43.714697845280170440673828125,-79.3576482497155666351318359375
17,2020-05-17T19:25:32.000Z,67,101.70999908447266,132,2.7149999141693115,94,2020-05-17T19:25:31.000Z,27,95,128,43.71469759382307529449462890625,-79.3576878122985363006591796875
18,2020-05-17T19:25:34.000Z,67,107.81999969482422,135,2.7339999675750732,94,2020-05-17T19:25:32.000Z,26,94,132,43.7146933190524578094482421875,-79.357763417065143585205078125
19,2020-05-17T19:25:40.000Z,67.19999694824219,128.33999633789062,139,2.882999897003174,97,2020-05-17T19:25:34.000Z,26,94,135,43.714675717055797576904296875,-79.35801680199801921844482421875
20,2020-05-17T19:25:46.000Z,67.4000015258789,146.57000732421875,135,3.003999948501587,98,2020-05-17T19:25:40.000Z,26,97,139,43.71465124189853668212890625,-79.3582403473556041717529296875
21,2020-05-17T19:25:51.000Z,67.4000015258789,160.0800018310547,132,2.9670000076293945,98,2020-05-17T19:25:46.000Z,26,98,135,43.71462936513125896453857421875,-79.35840521939098834991455078125
22,2020-05-17T19:25:56.000Z,67.4000015258789,172.9199981689453,136,2.9210000038146973,96,2020-05-17T19:25:51.000Z,26,98,132,43.7146111764013767242431640625,-79.3585622124373912811279296875
23,2020-05-17T19:25:57.000Z,67.5999984741211,175.75,140,2.8929998874664307,95,2020-05-17T19:25:56.000Z,26,96,136,43.71460807509720325469970703125,-79.3585970811545848846435546875
24,2020-05-17T19:25:58.000Z,67.5999984741211,178.3000030517578,145,2.8929998874664307,94,2020-05-17T19:25:57.000Z,26,95,140,43.71460572816431522369384765625,-79.3586285971105098724365234375
25,2020-05-17T19:25:59.000Z,67.5999984741211,180.7899932861328,145,2.882999897003174,94,2020-05-17T19:25:58.000Z,26,94,145,43.71460271067917346954345703125,-79.35865919105708599090576171875
26,2020-05-17T19:26:00.000Z,67.80000305175781,183.77999877929688,140,2.865000009536743,95,2020-05-17T19:25:59.000Z,26,94,145,43.71459969319403171539306640625,-79.35869607143104076385498046875
27,2020-05-17T19:26:02.000Z,67.80000305175781,190.64999389648438,137,2.882999897003174,96,2020-05-17T19:26:00.000Z,26,95,140,43.71459047310054302215576171875,-79.35878039337694644927978515625
28,2020-05-17T19:26:03.000Z,67.80000305175781,194.14999389648438,137,2.9019999504089355,96,2020-05-17T19:26:02.000Z,26,96,137,43.7145867012441158294677734375,-79.35882347635924816131591796875
29,2020-05-17T19:26:07.000Z,68,207.3000030517578,138,2.947999954223633,93,2020-05-17T19:26:03.000Z,26,96,137,43.7145687639713287353515625,-79.35898491181433200836181640625
30,2020-05-17T19:26:14.000Z,68.19999694824219,228.3000030517578,140,2.9670000076293945,93,2020-05-17T19:26:07.000Z,26,93,138,43.7145365774631500244140625,-79.35924190096557140350341796875
31,2020-05-17T19:26:25.000Z,68.4000015258789,248.4199981689453,142,1.902999997138977,73,2020-05-17T19:26:14.000Z,26,93,140,43.7145162932574748992919921875,-79.35948908329010009765625
32,2020-05-17T19:26:33.000Z,68.4000015258789,269.0400085449219,141,2.369999885559082,96,2020-05-17T19:26:25.000Z,26,73,142,43.71446751058101654052734375,-79.35973584651947021484375
33,2020-05-17T19:26:35.000Z,68.80000305175781,270.3599853515625,140,1.25,59,2020-05-17T19:26:33.000Z,26,96,141,43.71447077952325344085693359375,-79.35974934138357639312744140625
34,2020-05-17T19:26:36.000Z,69.19999694824219,270.6499938964844,140,0.5040000081062317,59,2020-05-17T19:26:35.000Z,26,59,140,43.71447287499904632568359375,-79.3597517721354961395263671875
35,2020-05-17T19:26:42.000Z,69.5999984741211,274.0799865722656,137,0.6620000004768372,59,2020-05-17T19:26:36.000Z,26,59,140,43.714502044022083282470703125,-79.35976560227572917938232421875
36,2020-05-17T19:26:54.000Z,69,275.6199951171875,134,0,0,2020-05-17T19:26:42.000Z,26,59,137,43.714513443410396575927734375,-79.359767697751522064208984375
37,2020-05-17T19:27:08.000Z,69,278,137,0,0,2020-05-17T19:26:54.000Z,26,0,134,43.71452341787517070770263671875,-79.359771050512790679931640625
38,2020-05-17T19:27:12.000Z,68.80000305175781,284.5899963378906,137,0.9139999747276306,0,2020-05-17T19:27:08.000Z,26,0,137,43.71458225883543491363525390625,-79.3597792647778987884521484375
39,2020-05-17T19:27:14.000Z,69,290.4700012207031,135,2.621999979019165,96,2020-05-17T19:27:12.000Z,26,0,137,43.714634142816066741943359375,-79.35979376547038555145263671875
40,2020-05-17T19:27:18.000Z,69,300.95001220703125,132,2.7990000247955322,103,2020-05-17T19:27:14.000Z,26,96,135,43.71472760103642940521240234375,-79.35978873632848262786865234375
