I,time,atemp,cad,hr,lat,lon
0,2020-05-28T00:53:10.000Z,,,,43.71461193077266216278076171875,-79.35857637785375118255615234375
1,2020-05-28T00:54:33.000Z,27.0,93,140,43.71460773982107639312744140625,-79.35866765677928924560546875
2,2020-05-28T00:54:35.000Z,27.0,94,140,43.71460740454494953155517578125,-79.3588756956160068511962890625
3,2020-05-28T00:54:41.000Z,27.0,94,137,43.71457303874194622039794921875,-79.3591452576220035552978515625
4,2020-05-28T00:54:49.000Z,27.0,95,135,43.71454395353794097900390625,-79.35939378105103969573974609375
5,2020-05-28T00:54:56.000Z,27.0,90,133,43.71454956941306591033935546875,-79.359570555388927459716796875
6,2020-05-28T00:55:03.000Z,27.0,80,136,43.71457924135029315948486328125,-79.35959075577557086944580078125
7,2020-05-28T00:55:05.000Z,27.0,80,143,43.7146343104541301727294921875,-79.359603412449359893798828125
8,2020-05-28T00:55:07.000Z,27.0,84,150,43.71465166099369525909423828125,-79.35963953845202922821044921875
9,2020-05-28T00:55:08.000Z,27.0,84,155,43.71468854136765003204345703125,-79.35966074466705322265625
10,2020-05-28T00:55:09.000Z,27.0,84,159,43.71472441591322422027587890625,-79.35968748293817043304443359375
11,2020-05-28T00:55:10.000Z,27.0,84,164,43.71475961990654468536376953125,-79.35970910824835300445556640625
12,2020-05-28T00:55:11.000Z,27.0,84,167,43.7148304469883441925048828125,-79.35976593755185604095458984375
13,2020-05-28T00:55:14.000Z,27.0,90,167,43.71487847529351711273193359375,-79.35977482236921787261962890625
14,2020-05-28T00:55:17.000Z,27.0,90,169,43.71506237424910068511962890625,-79.35975269414484500885009765625
15,2020-05-28T00:55:26.000Z,27.0,92,168,43.715271838009357452392578125,-79.35972436331212520599365234375
16,2020-05-28T00:55:32.000Z,27.0,91,168,43.71535607613623142242431640625,-79.3597157299518585205078125
17,2020-05-28T00:55:35.000Z,27.0,92,164,43.71553913690149784088134765625,-79.3597997166216373443603515625
18,2020-05-28T00:55:45.000Z,27.0,91,161,43.715556822717189788818359375,-79.3598131276667118072509765625
