I,time,atemp,cad,hr,lat,lon
0,2020-05-21T01:03:46.000Z,,,,43.71612536720931529998779296875,-79.35662322677671909332275390625
1,2020-05-21T01:08:25.000Z,24.0,94,135,43.71613693423569202423095703125,-79.35653588734567165374755859375
2,2020-05-21T01:08:29.000Z,24.0,94,135,43.716147579252719879150390625,-79.356355257332324981689453125
3,2020-05-21T01:08:34.000Z,24.0,95,135,43.716120757162570953369140625,-79.35618451796472072601318359375
4,2020-05-21T01:08:39.000Z,24.0,96,135,43.7161360122263431549072265625,-79.35599927790462970733642578125
5,2020-05-21T01:08:45.000Z,24.0,95,138,43.7161326594650745391845703125,-79.35592719353735446929931640625
6,2020-05-21T01:08:47.000Z,24.0,94,135,43.71619476936757564544677734375,-79.355726279318332672119140625
7,2020-05-21T01:08:54.000Z,24.0,96,135,43.7162476591765880584716796875,-79.35570406727492809295654296875
8,2020-05-21T01:08:55.000Z,24.0,96,131,43.7162774987518787384033203125,-79.35549502260982990264892578125
9,2020-05-21T01:09:02.000Z,24.0,96,133,43.7163807637989521026611328125,-79.35526167042553424835205078125
10,2020-05-21T01:09:11.000Z,24.0,96,134,43.71646868996322154998779296875,-79.35528673231601715087890625
11,2020-05-21T01:09:14.000Z,24.0,94,137,43.71652132831513881683349609375,-79.355315230786800384521484375
12,2020-05-21T01:09:16.000Z,24.0,94,140,43.716540522873401641845703125,-79.3553264625370502471923828125
13,2020-05-21T01:09:17.000Z,24.0,94,139,43.7167252600193023681640625,-79.35537700541317462921142578125
14,2020-05-21T01:09:24.000Z,24.0,95,139,43.71692148037254810333251953125,-79.35547758825123310089111328125
15,2020-05-21T01:09:31.000Z,24.0,92,136,43.71697545982897281646728515625,-79.355714879930019378662109375
16,2020-05-21T01:09:40.000Z,24.0,94,135,43.71695970185101032257080078125,-79.35598201118409633636474609375
17,2020-05-21T01:09:50.000Z,24.0,92,134,43.716930449008941650390625,-79.35624830424785614013671875
18,2020-05-21T01:09:59.000Z,24.0,93,134,43.71691745705902576446533203125,-79.3565277568995952606201171875
19,2020-05-21T01:10:07.000Z,24.0,93,136,43.7169192172586917877197265625,-79.35658651404082775115966796875
20,2020-05-21T01:10:09.000Z,24.0,93,136,43.71691234409809112548828125,-79.3566306866705417633056640625
21,2020-05-21T01:10:10.000Z,24.0,93,138,43.7168766371905803680419921875,-79.35688490979373455047607421875
22,2020-05-21T01:10:17.000Z,24.0,93,137,43.71688711456954479217529296875,-79.3572063557803630828857421875
23,2020-05-21T01:10:27.000Z,24.0,94,136,43.71689013205468654632568359375,-79.35750223696231842041015625
24,2020-05-21T01:10:33.000Z,24.0,93,135,43.716953583061695098876953125,-79.357759393751621246337890625
25,2020-05-21T01:10:41.000Z,24.0,95,135,43.7169758789241313934326171875,-79.35788554139435291290283203125
26,2020-05-21T01:10:45.000Z,23.0,92,138,43.71702306903898715972900390625,-79.3580106832087039947509765625
27,2020-05-21T01:10:50.000Z,23.0,92,135,43.71704109013080596923828125,-79.3581377528607845306396484375
28,2020-05-21T01:10:54.000Z,23.0,93,132,43.717064894735813140869140625,-79.3582058139145374298095703125
29,2020-05-21T01:10:57.000Z,23.0,94,133,43.71710705570876598358154296875,-79.35830044560134410858154296875
30,2020-05-21T01:11:01.000Z,23.0,95,137,43.71712717227637767791748046875,-79.358479566872119903564453125
31,2020-05-21T01:11:06.000Z,23.0,95,140,43.7171401642262935638427734375,-79.358625076711177825927734375
32,2020-05-21T01:11:10.000Z,23.0,93,137,43.717162795364856719970703125,-79.35882817022502422332763671875
33,2020-05-21T01:11:16.000Z,23.0,92,137,43.71717595495283603668212890625,-79.35891148634254932403564453125
34,2020-05-21T01:11:18.000Z,23.0,93,141,43.71727486141026020050048828125,-79.35907996259629726409912109375
35,2020-05-21T01:11:25.000Z,23.0,92,139,43.7174194492399692535400390625,-79.3592892587184906005859375
36,2020-05-21T01:11:33.000Z,23.0,93,138,43.71755364350974559783935546875,-79.3594232015311717987060546875
37,2020-05-21T01:11:41.000Z,23.0,91,138,43.7176139093935489654541015625,-79.3594778515398502349853515625
38,2020-05-21T01:11:44.000Z,23.0,92,135,43.71771700680255889892578125,-79.3595874868333339691162109375
39,2020-05-21T01:11:49.000Z,23.0,89,138,43.7177567370235919952392578125,-79.359628222882747650146484375
40,2020-05-21T01:11:51.000Z,23.0,90,134,43.71783762238919734954833984375,-79.359709359705448150634765625
41,2020-05-21T01:11:54.000Z,23.0,95,137,43.71802621521055698394775390625,-79.359849505126476287841796875
42,2020-05-21T01:12:03.000Z,23.0,94,138,43.71812403202056884765625,-79.35978504829108715057373046875
43,2020-05-21T01:12:08.000Z,23.0,91,137,43.71815982274711132049560546875,-79.3597095273435115814208984375
44,2020-05-21T01:12:12.000Z,23.0,92,138,43.718191422522068023681640625,-79.35960198752582073211669921875
45,2020-05-21T01:12:16.000Z,23.0,98,137,43.7182455696165561676025390625,-79.35949285514652729034423828125
46,2020-05-21T01:12:21.000Z,23.0,96,138,43.7183558754622936248779296875,-79.35932521708309650421142578125
47,2020-05-21T01:12:27.000Z,23.0,93,138,43.71839426457881927490234375,-79.3592803739011287689208984375
48,2020-05-21T01:12:29.000Z,23.0,94,134,43.7184752337634563446044921875,-79.35920753516256809234619140625
49,2020-05-21T01:12:33.000Z,23.0,94,137,43.71853910386562347412109375,-79.3591543100774288177490234375
50,2020-05-21T01:12:38.000Z,23.0,93,131,43.71856751851737499237060546875,-79.35911868698894977569580078125
51,2020-05-21T01:12:40.000Z,22.0,96,130,43.71858193539083003997802734375,-79.35909555293619632720947265625
52,2020-05-21T01:12:42.000Z,22.0,96,128,43.71869022957980632781982421875,-79.35902682133018970489501953125
53,2020-05-21T01:12:45.000Z,22.0,94,128,43.71871403418481349945068359375,-79.35902045108377933502197265625
