I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-05-03T17:44:37.000Z,-5.400000095367432,0.0,98,0.0,0
1,2020-05-03T17:44:38.000Z,-5.0,0.0,98,0.0,59
2,2020-05-03T17:44:41.000Z,-4.199999809265137,4.210000038146973,98,1.4739999771118164,59
3,2020-05-03T17:44:50.000Z,-3.5999999046325684,21.059999465942383,102,2.2209999561309814,94
4,2020-05-03T17:44:52.000Z,-3.5999999046325684,25.649999618530273,106,2.313999891281128,95
5,2020-05-03T17:44:53.000Z,-3.5999999046325684,28.0,110,2.3510000705718994,95
6,2020-05-03T17:44:55.000Z,-3.5999999046325684,32.79999923706055,114,2.4170000553131104,95
7,2020-05-03T17:44:57.000Z,-3.5999999046325684,37.689998626708984,117,2.4539999961853027,95
8,2020-05-03T17:44:58.000Z,-3.5999999046325684,40.13999938964844,123,2.4539999961853027,93
9,2020-05-03T17:44:59.000Z,-3.799999952316284,42.599998474121094,128,2.4539999961853027,93
10,2020-05-03T17:45:00.000Z,-4.0,45.060001373291016,131,2.4630000591278076,93
11,2020-05-03T17:45:02.000Z,-4.199999809265137,50.02000045776367,136,2.490999937057495,94
12,2020-05-03T17:45:03.000Z,-4.199999809265137,52.529998779296875,136,2.509999990463257,91
13,2020-05-03T17:45:04.000Z,-4.199999809265137,55.060001373291016,132,2.5290000438690186,90
14,2020-05-03T17:45:06.000Z,-4.199999809265137,60.119998931884766,135,2.5290000438690186,89
15,2020-05-03T17:45:09.000Z,-3.5999999046325684,67.62000274658203,139,2.490999937057495,87
16,2020-05-03T17:45:10.000Z,-3.200000047683716,70.11000061035156,139,2.490999937057495,87
17,2020-05-03T17:45:11.000Z,-3.200000047683716,72.61000061035156,138,2.500999927520752,87
18,2020-05-03T17:45:13.000Z,-2.799999952316284,77.62000274658203,141,2.509999990463257,91
19,2020-05-03T17:45:14.000Z,-2.5999999046325684,80.16000366210938,138,2.5380001068115234,91
20,2020-05-03T17:45:16.000Z,-2.799999952316284,85.2699966430664,142,2.556999921798706,91
21,2020-05-03T17:45:17.000Z,-3.200000047683716,87.83000183105469,147,2.556999921798706,91
22,2020-05-03T17:45:18.000Z,-3.4000000953674316,90.38999938964844,152,2.556999921798706,91
23,2020-05-03T17:45:19.000Z,-3.5999999046325684,92.95999908447266,157,2.575000047683716,92
24,2020-05-03T17:45:20.000Z,-3.5999999046325684,95.55000305175781,162,2.5850000381469727,92
