I,time,atemp,cad,hr,lat,lon
0,2020-05-31T17:41:33.000Z,,,,43.71428621001541614532470703125,-79.35640144161880016326904296875
1,2020-05-31T17:41:33.000Z,28.0,59,94,43.7142978608608245849609375,-79.35641191899776458740234375
2,2020-05-31T17:41:34.000Z,28.0,95,94,43.71436734683811664581298828125,-79.3564291857182979583740234375
3,2020-05-31T17:41:38.000Z,28.0,90,95,43.71439182199537754058837890625,-79.35644318349659442901611328125
4,2020-05-31T17:41:40.000Z,28.0,93,98,43.714404813945293426513671875,-79.35644972138106822967529296875
5,2020-05-31T17:41:41.000Z,28.0,96,98,43.71441747061908245086669921875,-79.3564523197710514068603515625
6,2020-05-31T17:41:42.000Z,28.0,96,101,43.71443842537701129913330078125,-79.3564560078084468841552734375
7,2020-05-31T17:41:44.000Z,28.0,94,108,43.71444647200405597686767578125,-79.35645776800811290740966796875
8,2020-05-31T17:41:45.000Z,28.0,94,113,43.7144502438604831695556640625,-79.35645827092230319976806640625
9,2020-05-31T17:41:46.000Z,28.0,94,118,43.7144561111927032470703125,-79.35646019876003265380859375
10,2020-05-31T17:41:47.000Z,28.0,93,117,43.71446373872458934783935546875,-79.35646288096904754638671875
11,2020-05-31T17:41:48.000Z,28.0,92,121,43.71448201127350330352783203125,-79.35647428035736083984375
12,2020-05-31T17:41:50.000Z,28.0,93,122,43.7144975177943706512451171875,-79.35648291371762752532958984375
13,2020-05-31T17:41:51.000Z,28.0,93,125,43.71450246311724185943603515625,-79.3564943969249725341796875
14,2020-05-31T17:41:52.000Z,28.0,93,128,43.71450648643076419830322265625,-79.35650638304650783538818359375
15,2020-05-31T17:41:53.000Z,28.0,93,128,43.71452475897967815399169921875,-79.35654611326754093170166015625
16,2020-05-31T17:41:56.000Z,28.0,93,128,43.71454588137567043304443359375,-79.35658249072730541229248046875
17,2020-05-31T17:41:58.000Z,28.0,93,127,43.71456130407750606536865234375,-79.35660461895167827606201171875
18,2020-05-31T17:41:59.000Z,28.0,93,122,43.7146084941923618316650390625,-79.35667477548122406005859375
19,2020-05-31T17:42:02.000Z,28.0,93,125,43.7146426923573017120361328125,-79.35673353262245655059814453125
20,2020-05-31T17:42:05.000Z,27.0,94,129,43.71466088108718395233154296875,-79.356915839016437530517578125
21,2020-05-31T17:42:12.000Z,27.0,93,128,43.71466356329619884490966796875,-79.3569825589656829833984375
22,2020-05-31T17:42:14.000Z,27.0,93,130,43.714684434235095977783203125,-79.357074759900569915771484375
23,2020-05-31T17:42:17.000Z,27.0,96,129,43.71470966376364231109619140625,-79.35717903077602386474609375
24,2020-05-31T17:42:22.000Z,27.0,96,130,43.7147161178290843963623046875,-79.35719319619238376617431640625
25,2020-05-31T17:42:23.000Z,27.0,59,132,43.7147216498851776123046875,-79.35720861889421939849853515625
26,2020-05-31T17:42:24.000Z,27.0,59,133,43.71472223661839962005615234375,-79.3572690524160861968994140625
27,2020-05-31T17:42:27.000Z,27.0,86,135,43.7147426046431064605712890625,-79.357308782637119293212890625
28,2020-05-31T17:42:29.000Z,27.0,84,138,43.71477118693292140960693359375,-79.35735329054296016693115234375
29,2020-05-31T17:42:31.000Z,27.0,88,138,43.7147945724427700042724609375,-79.3574118800461292266845703125
30,2020-05-31T17:42:33.000Z,27.0,89,133,43.71478895656764507293701171875,-79.35755588114261627197265625
