I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-07-06T18:11:55.000Z,120.80000305175781,2.799999952316284,152,2.3889999389648438,91
1,2020-07-06T18:11:56.000Z,121.4000015258789,5.869999885559082,148,2.5380001068115234,92
2,2020-07-06T18:11:57.000Z,121.4000015258789,9.100000381469727,144,2.677999973297119,92
3,2020-07-06T18:11:58.000Z,121.4000015258789,12.470000267028809,147,2.677999973297119,92
4,2020-07-06T18:11:59.000Z,121.4000015258789,15.960000038146973,144,2.9760000705718994,92
5,2020-07-06T18:12:00.000Z,121.5999984741211,19.18000030517578,141,2.9760000705718994,91
6,2020-07-06T18:12:01.000Z,122.0,22.3799991607666,139,2.947999954223633,91
7,2020-07-06T18:12:03.000Z,121.80000305175781,28.670000076293945,145,2.9019999504089355,91
8,2020-07-06T18:12:04.000Z,121.80000305175781,31.920000076293945,144,2.9019999504089355,91
9,2020-07-06T18:12:06.000Z,122.0,38.209999084472656,147,2.9860000610351562,90
10,2020-07-06T18:12:09.000Z,122.0,46.529998779296875,143,2.8269999027252197,89
11,2020-07-06T18:12:11.000Z,121.80000305175781,52.97999954223633,140,2.818000078201294,89
12,2020-07-06T18:12:13.000Z,121.5999984741211,59.349998474121094,139,2.8550000190734863,88
13,2020-07-06T18:12:20.000Z,121.4000015258789,80.75,139,2.9110000133514404,91
14,2020-07-06T18:12:27.000Z,122.19999694824219,101.05999755859375,138,2.930000066757202,93
15,2020-07-06T18:12:34.000Z,121.80000305175781,121.75,138,2.947999954223633,91
16,2020-07-06T18:12:41.000Z,121.0,141.0800018310547,142,2.9210000038146973,91
17,2020-07-06T18:12:43.000Z,121.0,146.27000427246094,147,2.9019999504089355,90
18,2020-07-06T18:12:44.000Z,121.0,148.94000244140625,146,2.882999897003174,90
19,2020-07-06T18:12:50.000Z,121.0,164.05999755859375,143,2.8369998931884766,91
20,2020-07-06T18:12:55.000Z,121.0,177.22999572753906,140,2.7899999618530273,90
21,2020-07-06T18:13:03.000Z,120.80000305175781,199.13999938964844,142,2.753000020980835,90
22,2020-07-06T18:13:08.000Z,120.80000305175781,214.22000122070312,145,2.753000020980835,92
23,2020-07-06T18:13:10.000Z,120.80000305175781,219.8699951171875,148,2.753000020980835,92
24,2020-07-06T18:13:18.000Z,120.4000015258789,241.89999389648438,146,2.753000020980835,91
25,2020-07-06T18:13:26.000Z,120.19999694824219,263.6199951171875,146,2.7060000896453857,89
26,2020-07-06T18:13:33.000Z,120.0,286.239990234375,146,2.76200008392334,90
27,2020-07-06T18:13:35.000Z,120.0,292.1600036621094,143,2.7709999084472656,91
28,2020-07-06T18:13:42.000Z,119.5999984741211,309.19000244140625,146,2.7339999675750732,87
29,2020-07-06T18:13:45.000Z,119.5999984741211,315.6700134277344,148,2.687000036239624,87
30,2020-07-06T18:13:53.000Z,119.4000015258789,338.6199951171875,148,2.677999973297119,91
31,2020-07-06T18:14:00.000Z,119.5999984741211,361.5899963378906,147,2.7809998989105225,91
32,2020-07-06T18:14:06.000Z,119.5999984741211,383.2900085449219,147,2.9860000610351562,94
33,2020-07-06T18:14:12.000Z,119.4000015258789,404.3500061035156,147,3.0880000591278076,91
34,2020-07-06T18:14:18.000Z,119.4000015258789,425.8999938964844,150,3.1070001125335693,90
35,2020-07-06T18:14:19.000Z,119.4000015258789,429.4100036621094,153,3.1070001125335693,91
36,2020-07-06T18:14:26.000Z,119.19999694824219,452.29998779296875,151,3.125999927520752,92
37,2020-07-06T18:14:31.000Z,118.80000305175781,466.69000244140625,148,3.0789999961853027,93
38,2020-07-06T18:14:39.000Z,119.5999984741211,488.1300048828125,150,2.9579999446868896,88
39,2020-07-06T18:14:41.000Z,119.80000305175781,494.0199890136719,150,2.9579999446868896,88
40,2020-07-06T18:14:51.000Z,120.4000015258789,514.4099731445312,148,2.7709999084472656,88
41,2020-07-06T18:14:53.000Z,121.19999694824219,520.030029296875,149,2.76200008392334,88
42,2020-07-06T18:15:00.000Z,121.0,540.2999877929688,148,2.8269999027252197,85
43,2020-07-06T18:15:08.000Z,120.4000015258789,560.3200073242188,149,2.76200008392334,92
44,2020-07-06T18:15:11.000Z,120.0,568.72998046875,149,2.7249999046325684,92
45,2020-07-06T18:15:19.000Z,120.19999694824219,590.9500122070312,149,2.8459999561309814,93
46,2020-07-06T18:15:26.000Z,119.80000305175781,611.010009765625,147,2.874000072479248,90
47,2020-07-06T18:15:34.000Z,120.0,632.75,146,2.874000072479248,90
48,2020-07-06T18:15:42.000Z,120.0,655.030029296875,148,2.8269999027252197,90
49,2020-07-06T18:15:49.000Z,119.80000305175781,676.02001953125,150,2.8369998931884766,91
50,2020-07-06T18:15:54.000Z,120.0,688.719970703125,153,2.8369998931884766,89
51,2020-07-06T18:16:01.000Z,120.0,705.25,158,2.76200008392334,95
52,2020-07-06T18:16:02.000Z,120.0,707.9600219726562,163,2.7809998989105225,94
53,2020-07-06T18:16:03.000Z,120.0,710.239990234375,166,2.7809998989105225,93
54,2020-07-06T18:16:04.000Z,120.0,712.6099853515625,166,2.753000020980835,92
55,2020-07-06T18:16:07.000Z,120.0,719.27001953125,166,2.6410000324249268,92
56,2020-07-06T18:16:14.000Z,120.0,740.8300170898438,166,2.687000036239624,91
57,2020-07-06T18:16:17.000Z,119.80000305175781,751.0700073242188,163,2.743000030517578,93
58,2020-07-06T18:16:24.000Z,119.80000305175781,771.530029296875,160,2.7809998989105225,93
59,2020-07-06T18:16:27.000Z,120.0,780.3300170898438,159,2.743000030517578,92
60,2020-07-06T18:16:35.000Z,120.0,801.6699829101562,159,2.6689999103546143,91
61,2020-07-06T18:16:42.000Z,120.0,822.8300170898438,157,2.7249999046325684,92
62,2020-07-06T18:16:49.000Z,120.0,843.5700073242188,155,2.7249999046325684,93
63,2020-07-06T18:16:56.000Z,120.4000015258789,863.6699829101562,156,2.753000020980835,92
64,2020-07-06T18:17:03.000Z,120.5999984741211,883.6900024414062,154,2.7809998989105225,90
65,2020-07-06T18:17:11.000Z,120.19999694824219,906.3099975585938,152,2.818000078201294,89
66,2020-07-06T18:17:16.000Z,120.19999694824219,920.6699829101562,151,2.8550000190734863,90
67,2020-07-06T18:17:23.000Z,120.80000305175781,939.4600219726562,148,2.8459999561309814,93
68,2020-07-06T18:17:26.000Z,120.80000305175781,947.4600219726562,151,2.8550000190734863,91
69,2020-07-06T18:17:31.000Z,120.19999694824219,964.0499877929688,146,2.9579999446868896,91
70,2020-07-06T18:17:34.000Z,120.0,972.8400268554688,144,2.9579999446868896,89
71,2020-07-06T18:17:37.000Z,120.80000305175781,974.1900024414062,144,2.865000009536743,90
72,2020-07-06T18:17:40.000Z,121.0,979.0800170898438,145,2.239000082015991,81
73,2020-07-06T18:17:42.000Z,121.19999694824219,985.3200073242188,145,2.8459999561309814,81
74,2020-07-06T18:17:47.000Z,120.0,995.9500122070312,146,2.490999937057495,91
75,2020-07-06T18:17:49.000Z,119.4000015258789,1000.760009765625,146,2.5940001010894775,94
76,2020-07-06T18:17:51.000Z,118.80000305175781,1007.52001953125,145,2.8369998931884766,97
77,2020-07-06T18:17:56.000Z,117.5999984741211,1021.1699829101562,145,2.809000015258789,97
78,2020-07-06T18:17:57.000Z,117.19999694824219,1024.75,145,2.809000015258789,97
79,2020-07-06T18:17:59.000Z,116.4000015258789,1031.719970703125,146,2.947999954223633,97
80,2020-07-06T18:18:05.000Z,115.4000015258789,1048.4100341796875,146,2.7899999618530273,92
81,2020-07-06T18:18:11.000Z,114.4000015258789,1068.0400390625,146,2.8369998931884766,93
82,2020-07-06T18:18:17.000Z,114.0,1088.6199951171875,146,2.9110000133514404,92
83,2020-07-06T18:18:23.000Z,113.19999694824219,1105.300048828125,146,2.882999897003174,92
84,2020-07-06T18:18:27.000Z,112.0,1117.3499755859375,147,2.8459999561309814,91
85,2020-07-06T18:18:29.000Z,110.80000305175781,1122.68994140625,148,2.8550000190734863,90
86,2020-07-06T18:18:35.000Z,110.4000015258789,1142.8900146484375,149,2.9110000133514404,90
87,2020-07-06T18:18:39.000Z,109.5999984741211,1155.56005859375,150,2.930000066757202,92
88,2020-07-06T18:18:42.000Z,108.4000015258789,1166.3900146484375,151,2.9860000610351562,92
89,2020-07-06T18:18:46.000Z,107.19999694824219,1180.0799560546875,150,3.0139999389648438,97
90,2020-07-06T18:18:51.000Z,106.19999694824219,1195.1800537109375,147,3.0420000553131104,97
91,2020-07-06T18:18:56.000Z,104.80000305175781,1210.7099609375,146,3.0789999961853027,95
92,2020-07-06T18:19:04.000Z,103.80000305175781,1232.3800048828125,145,3.0510001182556152,93
93,2020-07-06T18:19:05.000Z,103.80000305175781,1234.56005859375,145,3.0510001182556152,92
94,2020-07-06T18:19:10.000Z,103.4000015258789,1241.800048828125,148,2.5940001010894775,91
95,2020-07-06T18:19:18.000Z,103.5999984741211,1265.010009765625,148,2.7709999084472656,89
96,2020-07-06T18:19:25.000Z,103.5999984741211,1287.81005859375,146,2.8269999027252197,90
97,2020-07-06T18:19:32.000Z,104.0,1310.25,145,2.930000066757202,89
98,2020-07-06T18:19:38.000Z,104.4000015258789,1333.969970703125,145,3.0320000648498535,93
99,2020-07-06T18:19:45.000Z,104.19999694824219,1356.739990234375,146,3.1440000534057617,92
100,2020-07-06T18:19:52.000Z,104.0,1378.1700439453125,145,3.1630001068115234,91
101,2020-07-06T18:19:55.000Z,103.80000305175781,1385.0699462890625,148,3.059999942779541,92
102,2020-07-06T18:19:58.000Z,103.4000015258789,1391.97998046875,145,2.994999885559082,92
103,2020-07-06T18:20:02.000Z,102.5999984741211,1400.1600341796875,149,2.947999954223633,94
104,2020-07-06T18:20:09.000Z,101.5999984741211,1420.43994140625,149,2.9210000038146973,93
105,2020-07-06T18:20:10.000Z,101.4000015258789,1423.3599853515625,144,2.9210000038146973,93
106,2020-07-06T18:20:16.000Z,101.0,1443.5,144,2.938999891281128,90
107,2020-07-06T18:20:21.000Z,100.5999984741211,1461.199951171875,145,2.947999954223633,92
108,2020-07-06T18:20:28.000Z,100.4000015258789,1482.6300048828125,146,2.994999885559082,91
109,2020-07-06T18:20:32.000Z,99.80000305175781,1493.02001953125,148,2.9210000038146973,92
110,2020-07-06T18:20:34.000Z,99.5999984741211,1500.6300048828125,147,2.9210000038146973,93
111,2020-07-06T18:20:40.000Z,99.19999694824219,1523.8399658203125,147,3.059999942779541,85
112,2020-07-06T18:20:46.000Z,99.19999694824219,1544.3800048828125,147,3.0880000591278076,90
113,2020-07-06T18:20:53.000Z,99.19999694824219,1561.8800048828125,146,2.809000015258789,91
114,2020-07-06T18:21:01.000Z,98.80000305175781,1583.3800048828125,145,2.7149999141693115,90
115,2020-07-06T18:21:11.000Z,99.0,1604.199951171875,147,2.4730000495910645,85
116,2020-07-06T18:21:15.000Z,99.0,1611.760009765625,148,2.4170000553131104,84
117,2020-07-06T18:21:17.000Z,98.5999984741211,1614.06005859375,148,2.2669999599456787,84
118,2020-07-06T18:21:18.000Z,98.5999984741211,1616.3699951171875,149,2.257999897003174,84
119,2020-07-06T18:21:21.000Z,98.5999984741211,1624.449951171875,152,2.305000066757202,85
120,2020-07-06T18:21:23.000Z,98.5999984741211,1630.1800537109375,156,2.3420000076293945,85
121,2020-07-06T18:21:29.000Z,97.4000015258789,1645.1300048828125,157,2.3329999446868896,88
122,2020-07-06T18:21:32.000Z,96.4000015258789,1653.1300048828125,156,2.444999933242798,89
123,2020-07-06T18:21:38.000Z,95.80000305175781,1673.9599609375,155,2.7060000896453857,89
124,2020-07-06T18:21:42.000Z,95.5999984741211,1687.719970703125,158,2.8269999027252197,89
125,2020-07-06T18:21:44.000Z,95.5999984741211,1694.2099609375,161,2.874000072479248,90
126,2020-07-06T18:21:47.000Z,95.5999984741211,1705.31005859375,164,2.882999897003174,88
127,2020-07-06T18:21:49.000Z,95.5999984741211,1710.93994140625,161,2.8550000190734863,87
128,2020-07-06T18:21:54.000Z,96.19999694824219,1727.3800048828125,166,2.9019999504089355,87
129,2020-07-06T18:21:55.000Z,96.4000015258789,1730.6099853515625,171,2.9210000038146973,87
130,2020-07-06T18:21:56.000Z,96.4000015258789,1732.989990234375,176,2.9210000038146973,87
131,2020-07-06T18:21:57.000Z,96.4000015258789,1735.0899658203125,176,2.8369998931884766,87
132,2020-07-06T18:22:00.000Z,96.5999984741211,1741.4000244140625,173,2.7149999141693115,87
133,2020-07-06T18:22:04.000Z,96.80000305175781,1749.8399658203125,174,2.5850000381469727,87
134,2020-07-06T18:22:09.000Z,97.0,1761.530029296875,178,2.5290000438690186,90
135,2020-07-06T18:22:13.000Z,96.5999984741211,1771.3399658203125,180,2.546999931335449,92
136,2020-07-06T18:22:18.000Z,96.4000015258789,1780.530029296875,177,2.490999937057495,88
137,2020-07-06T18:22:24.000Z,96.5999984741211,1795.1300048828125,174,2.434999942779541,88
138,2020-07-06T18:22:30.000Z,96.80000305175781,1815.9000244140625,174,2.687000036239624,87
139,2020-07-06T18:22:37.000Z,96.5999984741211,1837.27001953125,174,2.6500000953674316,86
140,2020-07-06T18:22:43.000Z,96.80000305175781,1856.699951171875,174,2.677999973297119,87
141,2020-07-06T18:22:51.000Z,96.80000305175781,1877.6400146484375,172,2.63100004196167,85
142,2020-07-06T18:22:58.000Z,97.0,1892.7099609375,172,2.4260001182556152,86
143,2020-07-06T18:23:02.000Z,97.5999984741211,1900.47998046875,171,2.2950000762939453,83
144,2020-07-06T18:23:06.000Z,97.5999984741211,1908.06005859375,170,2.249000072479248,83
145,2020-07-06T18:23:09.000Z,97.5999984741211,1913.760009765625,171,2.2109999656677246,84
